Catégories,Variables,Réponses,Unit,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Mbomou,Bangui,TOTAL,Source,Source Link,,,,,,,
,,Assurer la présence de l'État partout dans le pays,%,36%,35%,27%,38%,11%,9%,19%,26%,38%,16%,35%,29%,,,,,,,,,
,,Autre,%,10%,0%,1%,2%,3%,0%,0%,1%,3%,1%,7%,3%,,,,,,,,,
,Possible d’avoir la paix si les responsables des violences depuis 2013 restent impunis,Oui,%,27%,23%,3%,74%,5%,37%,16%,6%,26%,10%,31%,26%,,,,,,,,,
,Entendu parlé de l’accord de Paix de Bangui (Karthoum) de février 2019,Oui,%,78%,55%,84%,75%,19%,54%,83%,33%,38%,29%,81%,67%,,,,,,,,,
,Principale source d'information sur l'Accord (% répondants - parmi répondants qui ont entendu parler),Un parent,%,36%,48%,10%,56%,32%,34%,43%,45%,65%,25%,18%,33%,,,,,,,,,
,,Un ami,%,35%,50%,10%,40%,68%,30%,39%,34%,33%,12%,20%,29%,,,,,,,,,
,,Au marché,%,12%,5%,6%,21%,37%,3%,20%,6%,2%,0%,7%,10%,,,,,,,,,
,,La radio,%,86%,50%,94%,80%,88%,78%,70%,65%,76%,87%,89%,82%,,,,,,,,,
,,Les journeaux,%,19%,1%,0%,0%,5%,2%,4%,3%,9%,0%,21%,9%,,,,,,,,,
,,Une organisation locale,%,13%,6%,6%,2%,10%,2%,44%,2%,0%,0%,5%,10%,,,,,,,,,
,,Une organisation internationale,%,1%,0%,2%,1%,10%,1%,17%,0%,0%,1%,2%,3%,,,,,,,,,
,,La TV,%,10%,0%,1%,1%,0%,0%,0%,0%,0%,0%,23%,7%,,,,,,,,,
,,Des gens de la Cour Spéciale,%,2%,0%,1%,1%,2%,2%,6%,0%,0%,0%,5%,3%,,,,,,,,,
,,Autre,%,4%,1%,0%,0%,0%,0%,0%,0%,1%,3%,2%,1%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,1%,0%,4%,0%,0%,0%,0%,0%,1%,,,,,,,,,
,Connaissance de l'Accord de paix ,% Bonne et très bonne,%,53%,35%,59%,23%,18%,27%,74%,13%,23%,22%,48%,41%,,,,,,,,,
,Parler de l’Accord de paix avec vos amis,oui,%,63%,39%,45%,49%,15%,42%,77%,33%,31%,30%,60%,51%,,,,,,,,,
,Niveau de confiance en général envers l'Accord de paix,% confiants,%,33%,26%,36%,19%,5%,24%,56%,11%,1%,20%,24%,26%,,,,,,,,,
,Amélioration dans la communauté depuis la signature de l'Accord de paix (% oui),Sécurité,%,64%,84%,15%,80%,84%,52%,28%,37%,44%,72%,69%,55%,,,,,,,,,
,,Libre circulation de biens et personnes,%,59%,79%,50%,99%,91%,53%,22%,53%,33%,75%,67%,59%,,,,,,,,,
,,Paix,%,64%,90%,36%,98%,95%,38%,19%,54%,34%,76%,67%,56%,,,,,,,,,
,,Amélioration de la vie des centrafricains,%,49%,68%,21%,73%,52%,32%,18%,31%,25%,65%,57%,43%,,,,,,,,,
,,Présence de l'Etat et des services,%,54%,58%,25%,91%,60%,27%,29%,54%,41%,73%,60%,48%,,,,,,,,,
RECONCILIATION ET JUSTICE DE TRANSITION,Besoin de réconciliation entre centrafricains ,% oui,%,73%,59%,72%,91%,69%,69%,91%,84%,79%,97%,76%,77%,,,,,,,,,
,Actions pour créer plus d’unité et de confiance entre centrafricains,Rien,%,1%,1%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,,,,,,,,,
,,Mediation,%,22%,18%,11%,7%,6%,10%,18%,22%,6%,1%,24%,16%,,,,,,,,,
,,Dialogue,%,51%,44%,59%,50%,23%,21%,64%,41%,68%,45%,57%,50%,,,,,,,,,
,,Paix,%,58%,66%,53%,59%,89%,69%,46%,50%,40%,47%,55%,57%,,,,,,,,,
,,Securite,%,60%,48%,52%,75%,91%,93%,58%,68%,48%,21%,52%,61%,,,,,,,,,
,,Libre circulation,%,49%,34%,57%,55%,13%,37%,41%,34%,22%,6%,46%,41%,,,,,,,,,
,,Sensibilisation sur le vivre ensemble,%,54%,29%,76%,78%,64%,68%,64%,59%,73%,37%,54%,59%,,,,,,,,,
,,Groupes de discussion entre communautes,%,19%,7%,15%,14%,7%,1%,23%,3%,4%,1%,16%,12%,,,,,,,,,
,,Formation des leaders communautaires,%,11%,14%,9%,26%,2%,1%,6%,18%,2%,7%,13%,10%,,,,,,,,,
,,Formations des organisation communautaires,%,13%,6%,13%,7%,0%,2%,10%,3%,17%,1%,14%,10%,,,,,,,,,
,,Autre,%,10%,1%,0%,0%,4%,0%,3%,0%,4%,1%,11%,4%,,,,,,,,,
,Victime des évènements de 2003,oui,%,48%,39%,39%,4%,20%,94%,83%,27%,45%,40%,55%,53%,,,,,,,,,
,Victime de la crise de 2013,oui,%,70%,57%,64%,60%,23%,94%,100%,48%,65%,67%,74%,73%,,,,,,,,,
,Actions pour les victimes des violences depuis 2003 (% répondants),Rien,%,1%,1%,1%,0%,1%,4%,0%,12%,5%,0%,2%,2%,,,,,,,,,
,,Restituer ce qu'elles ont perdu,%,53%,22%,37%,22%,70%,27%,24%,23%,48%,47%,39%,37%,,,,,,,,,
,,Donner de l'argent,%,54%,47%,25%,17%,44%,12%,20%,11%,10%,6%,46%,29%,,,,,,,,,
,,Donner une compensation individuelle quoi qu'elle soit,%,34%,41%,20%,9%,46%,15%,35%,21%,55%,47%,35%,32%,,,,,,,,,
,,"Fournir des services (santé, éducation)",%,37%,42%,51%,54%,17%,71%,44%,1%,29%,47%,36%,44%,,,,,,,,,
,,Fournir des animaux pour l'élevage,%,20%,16%,36%,23%,2%,39%,11%,13%,9%,38%,20%,23%,,,,,,,,,
,, Fournir une habitation,%,37%,21%,56%,18%,37%,3%,19%,23%,45%,13%,43%,31%,,,,,,,,,
,,Donner une terre,%,28%,30%,14%,22%,6%,1%,0%,1%,19%,0%,27%,16%,,,,,,,,,
,,Support psychologique,%,26%,2%,29%,49%,20%,0%,59%,14%,36%,6%,28%,26%,,,,,,,,,
,,Punir les responsables,%,47%,34%,72%,75%,37%,81%,83%,77%,34%,47%,47%,59%,,,,,,,,,
,,Reconnaître leur souffrance,%,23%,8%,20%,31%,7%,19%,9%,8%,4%,3%,17%,16%,,,,,,,,,
,,Elles doivent recevoir des excuses sincères,%,12%,11%,9%,16%,14%,12%,8%,9%,0%,0%,8%,9%,,,,,,,,,
,,Autre,%,2%,0%,0%,0%,0%,0%,2%,0%,4%,0%,2%,1%,,,,,,,,,
,Important de connaître la vérité sur (% oui),la mort de Boganda,%,86%,94%,73%,82%,68%,79%,92%,99%,56%,75%,89%,83%,,,,,,,,,
,,les évènements de 2003,%,84%,81%,80%,98%,75%,90%,94%,99%,67%,67%,88%,85%,,,,,,,,,
,,la crise de 2013,%,93%,85%,86%,100%,93%,91%,100%,100%,77%,75%,94%,91%,,,,,,,,,
,Possible de connaître la vérité sur (% oui),la mort de Boganda,%,84%,93%,81%,83%,81%,80%,86%,98%,55%,75%,84%,82%,,,,,,,,,
,,les évènements de 2003,%,85%,82%,82%,98%,94%,92%,90%,96%,66%,67%,86%,86%,,,,,,,,,
,,la crise de 2013,%,93%,83%,91%,100%,99%,93%,100%,97%,77%,75%,93%,92%,,,,,,,,,
,Possible de juger les auteurs des crimes qui ont été commis contre la population depuis 2003,Oui,%,88%,80%,90%,90%,98%,78%,92%,92%,88%,77%,88%,87%,,,,,,,,,
,Important de juger les auteurs des crimes qui ont été commis contre la population depuis 2003?,Oui,%,88%,80%,93%,91%,100%,85%,97%,94%,90%,81%,89%,90%,,,,,,,,,
,Le plus important pour vous: juger les auteurs des crimes commis depuis 2003 ou une compensation pour les violences subies depuis 2003 (% répondants),Juger les auteurs des crimes,%,87%,62%,88%,91%,96%,94%,82%,70%,87%,63%,82%,83%,,,,,,,,,
,,Recevoir une compensation,%,13%,38%,12%,9%,3%,5%,18%,30%,13%,37%,16%,16%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,Acceptable que seulement les hauts gradés et décideurs soient tenus pour responsible des crimes commis contre la population depuis 2003,Oui,%,58%,35%,20%,15%,50%,29%,70%,49%,13%,27%,50%,41%,,,,,,,,,
,Acteurs qui devraient etre tenu responsable des violences depuis 2003,Les haut responsables des groupes armes impliques dans les violences contre la population,%,91%,92%,96%,99%,99%,78%,99%,99%,95%,89%,88%,92%,,,,,,,,,
,, Les haut responsables FACA impliques dans les violences contre la population,%,81%,76%,96%,53%,72%,58%,69%,93%,63%,15%,77%,70%,,,,,,,,,
,,Les haut responsables des autorites administratives impliques dans les violences contre la population,%,86%,84%,97%,68%,54%,64%,83%,94%,64%,29%,83%,77%,,,,,,,,,
,,Les combatants des groupes armes impliques dans les violences contre la population,%,79%,87%,97%,100%,92%,84%,100%,88%,95%,97%,84%,90%,,,,,,,,,
,,Les combatants FACA impliques dans les violences contre la population,%,66%,71%,98%,51%,67%,50%,56%,81%,57%,19%,69%,63%,,,,,,,,,
,,Les combatants des autorites administratives impliques dans les violences contre la population,%,77%,74%,98%,71%,53%,64%,68%,82%,62%,18%,80%,72%,,,,,,,,,
,Pensez-vous que les crimes de violences sexuelles doivent être traites de façon séparées des autres crimes ?,Oui,%,57%,74%,82%,39%,75%,59%,66%,66%,28%,86%,71%,65%,,,,,,,,,
,"En pensant aux abus et violences commis pendant les conflits, l'option préférée (% répondants)",Pas de procès,%,1%,4%,1%,0%,0%,0%,0%,0%,4%,0%,3%,1%,,,,,,,,,
,,Procès en RCA par un tribunal de la justice ordinaire,%,59%,60%,29%,18%,41%,34%,29%,19%,76%,87%,61%,49%,,,,,,,,,
,,Procès en RCA par la cour pénale spéciale,%,34%,33%,41%,69%,57%,60%,53%,78%,12%,10%,29%,40%,,,,,,,,,
,,Procès à l'etranger par la cour pénale internationsle,%,7%,3%,29%,12%,2%,6%,18%,2%,8%,3%,7%,10%,,,,,,,,,
,Entendu parlé de la Comission Vérité,Oui,%,55%,42%,29%,19%,4%,9%,69%,17%,12%,12%,53%,37%,,,,,,,,,
,Principale source d'information sur la Comission Vérité (% répondants - parmi répondants qui ont entendu parler),Un parent,%,42%,49%,18%,44%,11%,30%,43%,36%,61%,41%,20%,35%,,,,,,,,,
,,Un ami,%,38%,53%,4%,13%,56%,20%,37%,38%,14%,33%,20%,29%,,,,,,,,,
,,Au marché,%,15%,16%,8%,7%,56%,0%,17%,0%,10%,0%,8%,12%,,,,,,,,,
,,La radio,%,85%,52%,89%,92%,89%,100%,73%,76%,93%,85%,89%,82%,,,,,,,,,
,,Les journeaux,%,24%,4%,0%,0%,22%,5%,4%,2%,11%,0%,28%,13%,,,,,,,,,
,,Une organisation locale,%,19%,3%,28%,2%,22%,0%,39%,4%,4%,0%,7%,17%,,,,,,,,,
,,Une organisation internationale,%,1%,0%,8%,2%,0%,0%,21%,2%,0%,0%,3%,6%,,,,,,,,,
,,La TV,%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,8%,,,,,,,,,
,,Des gens de la Cour Spéciale,%,2%,0%,5%,0%,0%,0%,5%,2%,0%,4%,6%,6%,,,,,,,,,
,,Autre,%,3%,0%,0%,0%,11%,0%,0%,0%,0%,0%,3%,1%,,,,,,,,,
,Entendu parlé de la Cour pénale spéciale (CPS),Oui,%,77%,66%,92%,94%,32%,44%,78%,64%,29%,18%,81%,67%,,,,,,,,,
,Principale source d'information sur la CPS (% répondants - parmi répondants qui ont entendu parler),Un parent,%,35%,40%,9%,55%,51%,19%,51%,58%,59%,28%,20%,33%,,,,,,,,,
,,Un ami,%,31%,44%,7%,34%,26%,18%,41%,49%,31%,19%,18%,27%,,,,,,,,,
,,Au marché,%,14%,9%,7%,14%,9%,0%,15%,13%,3%,0%,7%,9%,,,,,,,,,
,,La radio,%,86%,56%,75%,82%,43%,96%,75%,41%,87%,91%,90%,80%,,,,,,,,,
,,Les journeaux,%,20%,2%,0%,0%,1%,1%,3%,3%,6%,2%,22%,8%,,,,,,,,,
,,Une organisation locale,%,18%,17%,15%,2%,1%,1%,31%,2%,4%,0%,5%,12%,,,,,,,,,
,,Une organisation internationale,%,2%,0%,19%,1%,7%,0%,17%,0%,3%,0%,2%,6%,,,,,,,,,
,,La TV,%,11%,0%,1%,0%,0%,0%,0%,0%,0%,0%,19%,6%,,,,,,,,,
,,Des gens de la Cour Spéciale,%,10%,0%,35%,2%,0%,1%,4%,1%,0%,0%,8%,10%,,,,,,,,,
,,Autre,%,3%,2%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,Connaissance de la Cour pénale spéciale,% Bonne et très bonne,%,64%,37%,65%,29%,48%,25%,69%,43%,26%,18%,52%,45%,,,,,,,,,
,Parlé de la Cour pénale spéciale avec vos amis,oui,%,63%,52%,36%,52%,9%,40%,65%,57%,21%,17%,63%,49%,,,,,,,,,
,Niveau de confiance dans la Cour pénale spéciale,% confiants,%,56%,40%,71%,45%,31%,27%,81%,74%,18%,18%,40%,45%,,,,,,,,,
,Entendu parlé de la Cour pénale internationale (CPI),Oui,%,83%,65%,92%,91%,21%,31%,73%,54%,33%,23%,87%,67%,,,,,,,,,
,Connaissance de la Cour pénale internationale,% Bonne et très bonne,%,43%,36%,67%,11%,38%,4%,67%,46%,26%,18%,42%,37%,,,,,,,,,
,Niveau de confiance dans la Cour pénale internationale,% confiants,%,24%,40%,52%,14%,5%,7%,65%,45%,12%,20%,25%,29%,,,,,,,,,
ELECTIONS,Les gens sont libres de parler de politique sans crainte en RCA ,Oui,%,69%,83%,69%,84%,95%,71%,54%,81%,58%,82%,69%,71%,,,,,,,,,
,Les médias sont libres de parler de politique sans crainte en RCA ,Oui,%,65%,88%,60%,93%,77%,53%,61%,92%,73%,83%,69%,70%,,,,,,,,,
,Les gens sont libres de choisir pour qui voter sans crainte en RCA ,Oui,%,87%,91%,80%,97%,95%,68%,78%,86%,67%,91%,86%,83%,,,,,,,,,
,Voté lors des précédentes élections présidentielles de 2015-2016,non,%,19%,19%,33%,19%,19%,5%,19%,5%,12%,10%,22%,18%,,,,,,,,,
,,oui,%,81%,81%,67%,81%,81%,95%,81%,95%,88%,90%,78%,82%,,,,,,,,,
,"Si non, pourquoi pas (% parmi non - réponses multiples)",Je ne suis pas intéressé,%,17%,27%,2%,2%,21%,27%,32%,26%,29%,4%,16%,16%,,,,,,,,,
,,Mon vote ne fait aucune différence,%,20%,15%,3%,0%,21%,9%,15%,7%,3%,0%,6%,9%,,,,,,,,,
,,Je n'ai pas été autorisé à m'inscrire,%,7%,12%,16%,32%,40%,0%,7%,7%,20%,0%,6%,12%,,,,,,,,,
,,Je n'ai pas eu la possibilite de m'inscrire,%,13%,24%,13%,51%,48%,36%,27%,33%,19%,42%,21%,24%,,,,,,,,,
,,Le bureau de vote était trop loin,%,3%,17%,3%,18%,2%,0%,17%,0%,3%,4%,3%,7%,,,,,,,,,
,,J'ai peur,%,7%,0%,1%,6%,7%,36%,34%,7%,3%,0%,7%,9%,,,,,,,,,
,,Je n'avais pas l'âge de voter,%,51%,10%,66%,28%,52%,64%,44%,37%,55%,46%,43%,46%,,,,,,,,,
,,Maladie,%,5%,0%,0%,2%,2%,0%,5%,11%,7%,0%,7%,4%,,,,,,,,,
,,Absence,%,1%,0%,0%,0%,2%,9%,0%,7%,3%,8%,4%,2%,,,,,,,,,
,,Autre,%,2%,2%,0%,0%,2%,9%,0%,0%,0%,4%,1%,1%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Voter lors des prochaines élections,Non,%,9%,16%,23%,8%,10%,7%,12%,12%,1%,0%,7%,10%,,,,,,,,,
,,Oui,%,91%,84%,77%,92%,90%,93%,88%,87%,99%,100%,92%,90%,,,,,,,,,
,"Si non, pourquoi pas (% parmi non - réponses multiples)",Je ne suis pas intéressé,%,36%,43%,41%,66%,71%,88%,31%,22%,32%,0%,41%,45%,,,,,,,,,
,,Mon vote ne fait aucune différence,%,71%,37%,18%,77%,95%,94%,88%,97%,68%,0%,44%,55%,,,,,,,,,
,,Je ne veux pas m'inscrire,%,17%,20%,25%,6%,57%,19%,35%,69%,0%,0%,17%,24%,,,,,,,,,
,,Je n'ai pas la possibilite de m'inscrire,%,14%,0%,0%,5%,5%,0%,4%,0%,0%,0%,2%,3%,,,,,,,,,
,,Le bureau de vote est trop loin,%,4%,20%,0%,0%,0%,0%,19%,0%,0%,0%,1%,5%,,,,,,,,,
,,J'ai peur,%,13%,3%,39%,5%,14%,19%,19%,37%,0%,0%,18%,21%,,,,,,,,,
,,Autre,%,6%,0%,7%,5%,0%,0%,0%,3%,32%,0%,9%,5%,,,,,,,,,
,Perception sur les futures élections en 2020 (% oui),Les élections auront lieu à temps / tel que prévu,%,84%,56%,54%,74%,83%,41%,54%,73%,67%,94%,81%,67%,,,,,,,,,
,,Les élections seront paisibles / sans violence,%,81%,55%,47%,65%,85%,59%,69%,74%,63%,86%,77%,67%,,,,,,,,,
,,Les élections vont se passer dans la transparence,%,67%,48%,41%,68%,79%,41%,56%,70%,54%,70%,67%,57%,,,,,,,,,
,,Les partis politiques sont prêts a un dialogue paisible / sans violence,%,76%,54%,41%,89%,56%,74%,67%,90%,21%,68%,76%,66%,,,,,,,,,
