Catégories,Variables,Réponses,Unit,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,3ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Source,Source Link,,,,,,,
,,Je ne connais pas assez pour avoir une opinion,%,7%,10%,4%,5%,4%,3%,10%,4%,5%,5%,5%,6%,6%,,,,,,,,,
,,Autre,%,1%,1%,1%,2%,1%,0%,0%,2%,1%,0%,0%,1%,1%,,,,,,,,,
,Mesures pour améliorer le système de justice (% répondants - réponses multiples),C’est impossible d’améliorer,%,1%,1%,5%,4%,2%,3%,14%,8%,6%,3%,5%,10%,6%,,,,,,,,,
,,"Former les juges, avocats,...",%,49%,39%,34%,35%,62%,55%,25%,42%,47%,52%,45%,39%,42%,,,,,,,,,
,,Combattre la corruption,%,81%,77%,76%,70%,84%,78%,53%,78%,73%,81%,77%,74%,74%,,,,,,,,,
,,Construire les infrastructures,%,46%,37%,39%,34%,52%,41%,38%,38%,34%,41%,38%,39%,38%,,,,,,,,,
,,Informer la population,%,39%,40%,34%,36%,45%,40%,36%,33%,28%,35%,39%,37%,35%,,,,,,,,,
,,"Payer le personnel, les juges",%,30%,36%,25%,29%,39%,44%,27%,25%,23%,35%,37%,25%,30%,,,,,,,,,
,,Sanctionner les juges,%,35%,27%,31%,24%,34%,33%,8%,26%,30%,33%,30%,26%,27%,,,,,,,,,
,,Autre,%,4%,5%,6%,7%,1%,0%,0%,8%,5%,1%,5%,5%,4%,,,,,,,,,
,Déjà eu recours aux tribunaux,oui,%,33%,24%,37%,35%,39%,30%,20%,45%,35%,24%,35%,30%,32%,,,,,,,,,
,Dans les 12 derniers mois,oui,%,51%,69%,70%,60%,68%,64%,69%,58%,74%,44%,53%,71%,63%,,,,,,,,,
,Connaissance du système judiciaire national,% Bonne et très bonne,%,68%,64%,60%,54%,83%,71%,35%,48%,59%,75%,64%,55%,58%,,,,,,,,,
,Accès à la justice ordinaire en Centrafrique (le système des cours et tribunaux),% Bonne et très bonne,%,70%,58%,63%,53%,76%,75%,42%,57%,55%,73%,65%,59%,60%,,,,,,,,,
,Niveau de confiance envers la justice ordinaire en Centrafrique (le système des cours et tribunaux),% confiants,%,48%,56%,52%,50%,52%,55%,21%,38%,53%,56%,51%,40%,46%,,,,,,,,,
,Qualité du travail des acteurs de la justice ordinaire en Centrafrique (le système des cours et tribunaux),% Bonne et très bonne,%,66%,64%,67%,58%,70%,68%,34%,52%,53%,71%,68%,55%,58%,,,,,,,,,
,Perception du système de justice national incluant les forces de sécurité (% d'accord) ,Les victimes de crimes dans votre quartier / village ont la possibilité de porter plainte en justice,%,98%,97%,95%,92%,97%,96%,86%,92%,95%,98%,96%,95%,94%,,,,,,,,,
,,Il faut payer un pot de vin pour que la police travaille sur une plainte,%,12%,13%,25%,26%,10%,10%,13%,23%,22%,9%,17%,21%,17%,,,,,,,,,
,,Les coupables peuvent corrompre la justice en payant les juges ou d’autres acteurs,%,14%,20%,33%,28%,23%,25%,11%,35%,38%,24%,29%,37%,28%,,,,,,,,,
,,Les juges traitent les hommes et les femmes de la même façon,%,72%,82%,84%,80%,76%,76%,85%,77%,73%,71%,78%,77%,77%,,,,,,,,,
,,Les juges traitent les personnes de tous les groupes ethniques et religieux de la même façon,%,77%,81%,86%,79%,78%,77%,91%,76%,69%,78%,83%,82%,79%,,,,,,,,,
,,Les décisions des juges sont généralement justes,%,64%,75%,78%,75%,63%,68%,92%,74%,68%,66%,76%,77%,74%,,,,,,,,,
,,Les juges prennent leurs décisions sans influence politique,%,70%,74%,77%,69%,64%,70%,89%,73%,72%,67%,76%,71%,74%,,,,,,,,,
,,La justice ordinaire n’est pas capable de juger les violences commises par les groupes armés,%,62%,69%,76%,73%,70%,65%,63%,64%,55%,67%,69%,60%,64%,,,,,,,,,
,Amélioration du travail des acteurs de la justice ordinaire au cours des 12 derniers mois ,Oui,%,87%,89%,83%,80%,86%,92%,87%,84%,86%,91%,87%,87%,87%,,,,,,,,,
,Confiance envers la justice locale coutumière,% confiants,%,45%,43%,44%,48%,39%,46%,5%,24%,28%,48%,44%,30%,34%,,,,,,,,,
,Confiance en les mécanismes alternatifs de résolution de disputes,% confiants,%,65%,53%,48%,44%,62%,61%,21%,32%,41%,67%,55%,35%,45%,,,,,,,,,
PAIX,Possible d’avoir une paix/ sécurité durable en Centrafrique,Oui,%,95%,93%,92%,89%,97%,97%,91%,87%,91%,98%,93%,90%,92%,,,,,,,,,
,Les gens de votre quartier / village vivent en paix,% Beaucoup et extrêmement,%,57%,55%,42%,35%,69%,45%,15%,37%,31%,60%,59%,36%,41%,,,,,,,,,
,La population nationale vit en paix,% Beaucoup et extrêmement,%,25%,23%,24%,16%,27%,26%,6%,17%,18%,21%,27%,20%,19%,,,,,,,,,
,Amélioration de la paix au cours des 12 prochains mois en RCA,Oui,%,86%,89%,86%,80%,93%,93%,96%,76%,78%,93%,90%,79%,85%,,,,,,,,,
,Actions pour une paix durable en RCA (% répondants - réponses multiples),"Rien, la paix ne peut pas revenir",%,1%,0%,2%,0%,0%,1%,2%,5%,8%,1%,2%,9%,3%,,,,,,,,,
,, Juger les responsables des crimes,%,53%,53%,40%,41%,63%,59%,33%,45%,48%,55%,52%,50%,48%,,,,,,,,,
,,Mettre en prison les responsables des crimes,%,33%,47%,44%,51%,47%,45%,27%,48%,41%,42%,50%,45%,42%,,,,,,,,,
,,Assurer la sécurité partout dans le pays,%,53%,52%,57%,54%,52%,44%,15%,54%,33%,48%,54%,51%,44%,,,,,,,,,
,,DDR,%,81%,82%,75%,80%,86%,85%,69%,80%,86%,84%,75%,84%,81%,,,,,,,,,
,,Développer le pays,%,26%,33%,32%,37%,42%,35%,32%,37%,33%,34%,34%,37%,34%,,,,,,,,,
,,Assurer de l'emploi à tous,%,45%,43%,47%,50%,35%,33%,28%,38%,22%,39%,43%,35%,36%,,,,,,,,,
,,Construire des routes,%,12%,23%,25%,32%,23%,21%,18%,29%,19%,17%,23%,28%,22%,,,,,,,,,
,,Mettre en place des dialogues entre les differents groupes ethniques/ religieux,%,18%,32%,38%,42%,18%,19%,14%,35%,22%,12%,31%,32%,25%,,,,,,,,,
,,Eduquer la nouvelle génération,%,32%,30%,35%,37%,36%,28%,28%,35%,23%,29%,30%,30%,30%,,,,,,,,,
,,Construire un État de droit,%,10%,18%,23%,25%,29%,23%,18%,28%,19%,19%,25%,27%,22%,,,,,,,,,
,,Assurer la présence de l'État partout dans le pays,%,21%,26%,45%,39%,34%,31%,27%,41%,36%,22%,37%,47%,34%,,,,,,,,,
,,Autre,%,11%,10%,14%,17%,2%,5%,5%,8%,6%,12%,9%,3%,8%,,,,,,,,,
,Possible d’avoir la paix si les responsables des violences depuis 2013 restent impunis,Oui,%,21%,27%,30%,25%,32%,27%,42%,37%,33%,16%,28%,31%,30%,,,,,,,,,
,Entendu parlé de l’accord de Paix de Bangui (Karthoum) de février 2019,Oui,%,86%,80%,75%,75%,94%,90%,65%,84%,80%,90%,78%,82%,81%,,,,,,,,,
,Principale source d'information sur l'Accord (% répondants - parmi répondants qui ont entendu parler),Un parent,%,19%,24%,28%,21%,27%,24%,1%,16%,22%,16%,22%,23%,19%,,,,,,,,,
,,Un ami,%,24%,29%,23%,23%,24%,19%,13%,20%,16%,24%,25%,24%,21%,,,,,,,,,
,,Au marché,%,9%,15%,4%,7%,6%,6%,8%,4%,3%,12%,11%,9%,7%,,,,,,,,,
,,La radio,%,92%,92%,92%,93%,92%,93%,78%,93%,88%,93%,85%,91%,90%,,,,,,,,,
,,Les journeaux,%,30%,29%,17%,18%,42%,27%,3%,23%,20%,26%,27%,23%,22%,,,,,,,,,
,,Une organisation locale,%,3%,6%,4%,5%,6%,8%,2%,5%,2%,5%,8%,4%,5%,,,,,,,,,
,,Une organisation internationale,%,2%,1%,2%,0%,3%,3%,1%,3%,1%,1%,2%,3%,2%,,,,,,,,,
,,La TV,%,20%,21%,10%,7%,51%,30%,10%,21%,19%,30%,26%,22%,21%,,,,,,,,,
,,Des gens de la Cour Spéciale,%,2%,0%,1%,2%,16%,10%,1%,1%,7%,4%,4%,6%,4%,,,,,,,,,
,,Autre,%,3%,2%,4%,5%,1%,1%,4%,3%,2%,0%,3%,2%,2%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,Connaissance de l'Accord de paix ,% Bonne et très bonne,%,64%,56%,47%,45%,73%,63%,34%,41%,41%,70%,54%,45%,49%,,,,,,,,,
,Parler de l’Accord de paix avec vos amis,oui,%,63%,63%,52%,60%,78%,66%,34%,63%,64%,71%,58%,63%,60%,,,,,,,,,
,Niveau de confiance en général envers l'Accord de paix,% confiants,%,35%,33%,31%,30%,38%,27%,12%,23%,25%,33%,34%,22%,26%,,,,,,,,,
,Amélioration dans la communauté depuis la signature de l'Accord de paix (% oui),Sécurité,%,65%,73%,58%,60%,77%,77%,95%,62%,55%,74%,71%,55%,68%,,,,,,,,,
,,Libre circulation de biens et personnes,%,70%,70%,55%,55%,76%,70%,97%,59%,55%,65%,65%,58%,66%,,,,,,,,,
,,Paix,%,75%,72%,57%,51%,76%,74%,94%,56%,54%,71%,70%,52%,66%,,,,,,,,,
,,Amélioration de la vie des centrafricains,%,55%,57%,49%,44%,57%,58%,84%,51%,50%,52%,57%,51%,56%,,,,,,,,,
,,Présence de l'Etat et des services,%,59%,62%,52%,47%,58%,63%,80%,54%,50%,58%,57%,59%,59%,,,,,,,,,
RECONCILIATION ET JUSTICE DE TRANSITION,Besoin de réconciliation entre centrafricains ,% oui,%,88%,76%,71%,62%,90%,90%,74%,62%,74%,87%,75%,76%,76%,,,,,,,,,
,Actions pour créer plus d’unité et de confiance entre centrafricains,Rien,%,0%,0%,0%,1%,0%,0%,0%,3%,1%,0%,0%,1%,1%,,,,,,,,,
,,Mediation,%,25%,30%,11%,27%,29%,25%,16%,24%,24%,27%,23%,26%,23%,,,,,,,,,
,,Dialogue,%,60%,56%,43%,47%,59%,60%,69%,53%,53%,58%,59%,52%,56%,,,,,,,,,
,,Paix,%,60%,58%,57%,52%,71%,62%,34%,56%,54%,62%,60%,61%,55%,,,,,,,,,
,,Securite,%,51%,63%,58%,58%,69%,60%,26%,56%,50%,62%,60%,56%,53%,,,,,,,,,
,,Libre circulation,%,48%,44%,53%,58%,48%,43%,46%,49%,43%,48%,43%,46%,47%,,,,,,,,,
,,Sensibilisation sur le vivre ensemble,%,60%,57%,58%,67%,59%,57%,32%,56%,56%,59%,59%,65%,56%,,,,,,,,,
,,Groupes de discussion entre communautes,%,12%,19%,21%,24%,19%,17%,11%,22%,17%,10%,19%,19%,17%,,,,,,,,,
,,Formation des leaders communautaires,%,12%,13%,10%,14%,21%,20%,6%,10%,16%,14%,14%,11%,13%,,,,,,,,,
,,Formations des organisation communautaires,%,6%,8%,17%,20%,20%,18%,13%,13%,14%,10%,11%,15%,13%,,,,,,,,,
,,Autre,%,8%,12%,15%,14%,3%,7%,9%,17%,16%,4%,9%,10%,11%,,,,,,,,,
,Victime des évènements de 2003,oui,%,47%,50%,54%,57%,56%,51%,67%,55%,57%,39%,51%,55%,54%,,,,,,,,,
,Victime de la crise de 2013,oui,%,61%,74%,76%,86%,62%,70%,75%,76%,82%,60%,66%,78%,74%,,,,,,,,,
,Actions pour les victimes des violences depuis 2003 (% répondants),Rien,%,0%,1%,2%,3%,1%,0%,3%,1%,3%,0%,1%,2%,2%,,,,,,,,,
,,Restituer ce qu'elles ont perdu,%,49%,55%,45%,42%,39%,40%,26%,48%,34%,44%,43%,46%,41%,,,,,,,,,
,,Donner de l'argent,%,57%,55%,58%,50%,40%,50%,33%,51%,46%,47%,56%,50%,49%,,,,,,,,,
,,Donner une compensation individuelle quoi qu'elle soit,%,32%,36%,33%,39%,34%,34%,60%,31%,23%,41%,35%,24%,35%,,,,,,,,,
,,"Fournir des services (santé, éducation)",%,32%,41%,44%,40%,34%,32%,29%,45%,35%,33%,40%,36%,37%,,,,,,,,,
,,Fournir des animaux pour l'élevage,%,10%,18%,16%,19%,19%,17%,32%,24%,12%,19%,18%,18%,19%,,,,,,,,,
,, Fournir une habitation,%,34%,41%,33%,35%,37%,39%,55%,43%,44%,37%,37%,42%,41%,,,,,,,,,
,,Donner une terre,%,20%,24%,22%,25%,31%,30%,39%,24%,25%,20%,26%,26%,26%,,,,,,,,,
,,Support psychologique,%,29%,26%,22%,29%,30%,26%,35%,31%,26%,26%,30%,23%,28%,,,,,,,,,
,,Punir les responsables,%,57%,43%,32%,37%,68%,65%,37%,42%,40%,62%,57%,37%,46%,,,,,,,,,
,,Reconnaître leur souffrance,%,16%,16%,16%,22%,31%,25%,15%,22%,9%,19%,23%,15%,18%,,,,,,,,,
,,Elles doivent recevoir des excuses sincères,%,3%,7%,9%,15%,6%,5%,9%,10%,5%,7%,5%,13%,8%,,,,,,,,,
,,Autre,%,2%,3%,4%,2%,1%,1%,0%,3%,3%,0%,1%,2%,2%,,,,,,,,,
,Important de connaître la vérité sur (% oui),la mort de Boganda,%,94%,92%,90%,84%,95%,97%,87%,87%,86%,92%,88%,89%,89%,,,,,,,,,
,,les évènements de 2003,%,94%,91%,88%,82%,94%,94%,88%,81%,85%,96%,90%,89%,88%,,,,,,,,,
,,la crise de 2013,%,96%,95%,96%,92%,95%,95%,90%,93%,95%,99%,96%,92%,94%,,,,,,,,,
,Possible de connaître la vérité sur (% oui),la mort de Boganda,%,85%,88%,90%,83%,93%,94%,73%,83%,84%,87%,87%,84%,85%,,,,,,,,,
,,les évènements de 2003,%,93%,91%,89%,84%,91%,91%,82%,82%,85%,94%,88%,85%,87%,,,,,,,,,
,,la crise de 2013,%,95%,95%,97%,93%,95%,92%,85%,93%,95%,97%,92%,93%,93%,,,,,,,,,
,Possible de juger les auteurs des crimes qui ont été commis contre la population depuis 2003,Oui,%,93%,89%,90%,83%,88%,90%,85%,87%,87%,90%,91%,87%,88%,,,,,,,,,
,Important de juger les auteurs des crimes qui ont été commis contre la population depuis 2003?,Oui,%,95%,92%,90%,85%,94%,95%,85%,88%,87%,95%,90%,85%,89%,,,,,,,,,
,Le plus important pour vous: juger les auteurs des crimes commis depuis 2003 ou une compensation pour les violences subies depuis 2003 (% répondants),Juger les auteurs des crimes,%,89%,90%,81%,78%,86%,89%,77%,80%,80%,86%,82%,84%,83%,,,,,,,,,
,,Recevoir une compensation,%,11%,9%,19%,22%,14%,11%,10%,20%,19%,14%,18%,15%,16%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,0%,0%,0%,13%,0%,1%,0%,0%,0%,2%,,,,,,,,,
,Acceptable que seulement les hauts gradés et décideurs soient tenus pour responsible des crimes commis contre la population depuis 2003,Oui,%,40%,56%,67%,65%,42%,34%,21%,74%,59%,40%,48%,66%,52%,,,,,,,,,
,Acteurs qui devraient etre tenu responsable des violences depuis 2003,Les haut responsables des groupes armes impliques dans les violences contre la population,%,95%,93%,90%,85%,93%,89%,80%,87%,88%,94%,93%,87%,89%,,,,,,,,,
,, Les haut responsables FACA impliques dans les violences contre la population,%,85%,81%,82%,79%,77%,78%,75%,81%,73%,84%,82%,71%,78%,,,,,,,,,
,,Les haut responsables des autorites administratives impliques dans les violences contre la population,%,92%,87%,87%,80%,84%,76%,80%,85%,82%,90%,85%,84%,84%,,,,,,,,,
,,Les combatants des groupes armes impliques dans les violences contre la population,%,95%,78%,81%,67%,93%,91%,77%,75%,87%,96%,85%,78%,83%,,,,,,,,,
,,Les combatants FACA impliques dans les violences contre la population,%,80%,68%,71%,58%,74%,75%,70%,63%,66%,80%,75%,57%,69%,,,,,,,,,
,,Les combatants des autorites administratives impliques dans les violences contre la population,%,87%,78%,81%,70%,79%,77%,77%,76%,79%,87%,84%,82%,80%,,,,,,,,,
,Pensez-vous que les crimes de violences sexuelles doivent être traites de façon séparées des autres crimes ?,Oui,%,66%,62%,69%,60%,69%,61%,83%,69%,75%,61%,66%,75%,69%,,,,,,,,,
,"En pensant aux abus et violences commis pendant les conflits, l'option préférée (% répondants)",Pas de procès,%,0%,0%,0%,1%,3%,1%,12%,1%,1%,1%,1%,1%,2%,,,,,,,,,
,,Procès en RCA par un tribunal de la justice ordinaire,%,65%,59%,70%,62%,53%,60%,58%,66%,60%,65%,65%,56%,62%,,,,,,,,,
,,Procès en RCA par la cour pénale spéciale,%,26%,34%,25%,33%,34%,30%,19%,29%,32%,26%,29%,39%,29%,,,,,,,,,
,,Procès à l'etranger par la cour pénale internationsle,%,9%,7%,5%,4%,10%,9%,10%,5%,7%,8%,5%,3%,7%,,,,,,,,,
,Entendu parlé de la Comission Vérité,Oui,%,62%,54%,49%,47%,77%,69%,58%,49%,42%,60%,51%,49%,53%,,,,,,,,,
,Principale source d'information sur la Comission Vérité (% répondants - parmi répondants qui ont entendu parler),Un parent,%,22%,35%,27%,22%,30%,27%,4%,23%,15%,27%,30%,21%,22%,,,,,,,,,
,,Un ami,%,27%,31%,17%,22%,22%,21%,13%,24%,16%,23%,33%,19%,21%,,,,,,,,,
,,Au marché,%,16%,17%,7%,6%,6%,8%,11%,7%,5%,10%,10%,9%,9%,,,,,,,,,
,,La radio,%,92%,90%,90%,95%,91%,92%,70%,94%,91%,91%,92%,93%,89%,,,,,,,,,
,,Les journeaux,%,32%,34%,23%,22%,45%,29%,7%,31%,26%,32%,42%,36%,28%,,,,,,,,,
,,Une organisation locale,%,1%,13%,11%,12%,9%,11%,0%,6%,9%,9%,14%,7%,8%,,,,,,,,,
,,Une organisation internationale,%,0%,3%,4%,1%,7%,7%,2%,4%,1%,2%,4%,3%,3%,,,,,,,,,
,,La TV,%,27%,22%,12%,9%,45%,30%,14%,22%,16%,27%,29%,26%,22%,,,,,,,,,
,,Des gens de la Cour Spéciale,%,4%,1%,2%,3%,22%,15%,1%,4%,7%,2%,4%,7%,5%,,,,,,,,,
,,Autre,%,1%,2%,6%,5%,1%,0%,4%,6%,1%,0%,3%,6%,3%,,,,,,,,,
,Entendu parlé de la Cour pénale spéciale (CPS),Oui,%,90%,77%,75%,78%,92%,87%,83%,79%,75%,91%,75%,79%,81%,,,,,,,,,
,Principale source d'information sur la CPS (% répondants - parmi répondants qui ont entendu parler),Un parent,%,20%,29%,24%,17%,28%,21%,10%,23%,23%,16%,25%,24%,21%,,,,,,,,,
,,Un ami,%,20%,25%,21%,20%,26%,18%,15%,17%,20%,20%,25%,16%,19%,,,,,,,,,
,,Au marché,%,11%,15%,11%,4%,6%,4%,7%,6%,6%,9%,6%,6%,7%,,,,,,,,,
,,La radio,%,91%,91%,91%,94%,92%,93%,75%,94%,92%,92%,91%,93%,90%,,,,,,,,,
,,Les journeaux,%,28%,28%,19%,17%,45%,26%,4%,22%,22%,26%,32%,26%,22%,,,,,,,,,
,,Une organisation locale,%,2%,8%,7%,6%,8%,9%,2%,6%,3%,4%,9%,4%,5%,,,,,,,,,
,,Une organisation internationale,%,2%,3%,2%,0%,4%,6%,2%,2%,2%,2%,2%,3%,2%,,,,,,,,,
,,La TV,%,21%,20%,9%,11%,46%,28%,12%,18%,14%,23%,22%,20%,18%,,,,,,,,,
,,Des gens de la Cour Spéciale,%,8%,6%,13%,12%,16%,7%,0%,11%,11%,9%,9%,7%,9%,,,,,,,,,
,,Autre,%,2%,1%,2%,2%,0%,1%,1%,2%,1%,0%,1%,1%,1%,,,,,,,,,
,Connaissance de la Cour pénale spéciale,% Bonne et très bonne,%,67%,59%,59%,56%,74%,68%,35%,42%,50%,68%,59%,53%,54%,,,,,,,,,
,Parlé de la Cour pénale spéciale avec vos amis,oui,%,68%,60%,55%,61%,81%,70%,59%,61%,61%,68%,55%,63%,62%,,,,,,,,,
,Niveau de confiance dans la Cour pénale spéciale,% confiants,%,43%,50%,58%,55%,49%,47%,17%,44%,41%,49%,47%,42%,43%,,,,,,,,,
,Entendu parlé de la Cour pénale internationale (CPI),Oui,%,94%,86%,80%,86%,97%,95%,87%,88%,77%,97%,83%,85%,87%,,,,,,,,,
,Connaissance de la Cour pénale internationale,% Bonne et très bonne,%,61%,48%,47%,41%,68%,60%,34%,34%,32%,62%,46%,40%,44%,,,,,,,,,
,Niveau de confiance dans la Cour pénale internationale,% confiants,%,21%,28%,29%,19%,31%,32%,30%,22%,21%,26%,23%,23%,25%,,,,,,,,,
ELECTIONS,Les gens sont libres de parler de politique sans crainte en RCA ,Oui,%,77%,75%,71%,69%,78%,83%,58%,71%,64%,77%,70%,70%,70%,,,,,,,,,
,Les médias sont libres de parler de politique sans crainte en RCA ,Oui,%,70%,69%,71%,67%,76%,81%,65%,65%,68%,70%,70%,70%,69%,,,,,,,,,
,Les gens sont libres de choisir pour qui voter sans crainte en RCA ,Oui,%,89%,91%,90%,86%,84%,89%,88%,83%,84%,91%,87%,85%,87%,,,,,,,,,
,Voté lors des précédentes élections présidentielles de 2015-2016,non,%,25%,20%,23%,16%,15%,17%,32%,21%,21%,21%,19%,23%,22%,,,,,,,,,
,,oui,%,75%,80%,77%,84%,85%,83%,68%,79%,79%,79%,81%,77%,78%,,,,,,,,,
,"Si non, pourquoi pas (% parmi non - réponses multiples)",Je ne suis pas intéressé,%,16%,14%,14%,3%,24%,16%,9%,20%,19%,17%,10%,20%,15%,,,,,,,,,
,,Mon vote ne fait aucune différence,%,18%,11%,6%,6%,6%,8%,11%,7%,2%,9%,0%,0%,7%,,,,,,,,,
,,Je n'ai pas été autorisé à m'inscrire,%,9%,9%,2%,0%,9%,0%,1%,2%,15%,9%,12%,2%,6%,,,,,,,,,
,,Je n'ai pas eu la possibilite de m'inscrire,%,14%,18%,16%,17%,0%,22%,24%,15%,17%,33%,21%,20%,20%,,,,,,,,,
,,Le bureau de vote était trop loin,%,2%,2%,2%,6%,0%,0%,1%,2%,6%,4%,7%,2%,3%,,,,,,,,,
,,J'ai peur,%,9%,7%,10%,9%,6%,8%,7%,4%,6%,9%,2%,10%,7%,,,,,,,,,
,,Je n'avais pas l'âge de voter,%,50%,55%,49%,57%,53%,51%,43%,48%,38%,39%,55%,37%,45%,,,,,,,,,
,,Maladie,%,5%,0%,8%,9%,3%,3%,7%,4%,9%,4%,0%,14%,6%,,,,,,,,,
,,Absence,%,2%,0%,2%,0%,12%,6%,6%,4%,4%,0%,2%,4%,3%,,,,,,,,,
,,Autre,%,4%,5%,0%,6%,0%,3%,0%,4%,0%,4%,0%,0%,2%,,,,,,,,,
,,Ne sait pas,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,,,,,,,,,
,Voter lors des prochaines élections,Non,%,7%,5%,10%,6%,5%,5%,6%,12%,9%,5%,5%,7%,7%,,,,,,,,,
,,Oui,%,93%,95%,90%,94%,94%,95%,92%,88%,89%,95%,95%,93%,92%,,,,,,,,,
,"Si non, pourquoi pas (% parmi non - réponses multiples)",Je ne suis pas intéressé,%,25%,58%,32%,54%,75%,50%,31%,38%,43%,40%,60%,40%,41%,,,,,,,,,
,,Mon vote ne fait aucune différence,%,81%,58%,45%,54%,33%,50%,46%,35%,57%,30%,20%,47%,47%,,,,,,,,,
,,Je ne veux pas m'inscrire,%,6%,17%,14%,23%,33%,10%,15%,27%,10%,20%,10%,13%,16%,,,,,,,,,
,,Je n'ai pas la possibilite de m'inscrire,%,19%,8%,23%,8%,17%,10%,0%,0%,0%,0%,10%,7%,6%,,,,,,,,,
,,Le bureau de vote est trop loin,%,6%,8%,5%,0%,0%,0%,0%,0%,0%,0%,0%,7%,2%,,,,,,,,,
,,J'ai peur,%,6%,8%,5%,8%,0%,20%,8%,15%,29%,10%,10%,20%,15%,,,,,,,,,
,,Autre,%,6%,0%,14%,23%,17%,20%,8%,15%,0%,20%,0%,7%,10%,,,,,,,,,
,Perception sur les futures élections en 2020 (% oui),Les élections auront lieu à temps / tel que prévu,%,83%,88%,85%,82%,87%,81%,81%,80%,82%,82%,86%,76%,82%,,,,,,,,,
,,Les élections seront paisibles / sans violence,%,85%,87%,83%,79%,77%,81%,75%,78%,73%,86%,81%,73%,79%,,,,,,,,,
,,Les élections vont se passer dans la transparence,%,51%,68%,74%,73%,62%,67%,69%,73%,66%,59%,65%,68%,67%,,,,,,,,,
,,Les partis politiques sont prêts a un dialogue paisible / sans violence,%,73%,81%,79%,74%,75%,76%,78%,75%,72%,83%,75%,76%,76%,,,,,,,,,
